id,number,update_date,available_bikes,available_bike_stands,weather
56,66,1680134432000,11,29,Rain
57,104,1680134436000,8,31,Rain
58,101,1680134430000,7,23,Rain
59,115,1680134434000,30,0,Rain
60,47,1680134506000,2,38,Rain
61,117,1680134431000,0,40,Rain
62,8,1680134500000,26,2,Rain
63,27,1680134432000,0,20,Rain
64,16,1680134432000,13,6,Rain
65,96,1680134427000,3,27,Rain
66,82,1680134449000,7,1,Rain
67,76,1680134431000,13,25,Rain
68,71,1680134428000,1,39,Rain
69,79,1680134426000,3,24,Rain
70,69,1680134426000,3,37,Rain
71,25,1680134432000,0,30,Rain
72,51,1680134429000,10,30,Rain
73,37,1680134432000,0,30,Rain
74,59,1680134558000,15,5,Rain
75,95,1680134389000,35,5,Rain
76,94,1680134431000,11,29,Rain
77,105,1680134241000,19,17,Rain
78,36,1680134428000,0,40,Rain
79,93,1680134055000,39,1,Rain
80,22,1680134431000,4,15,Rain
81,50,1680134062000,15,25,Rain
82,110,1680134433000,17,23,Rain
83,12,1680134428000,13,7,Rain
84,34,1680134430000,25,5,Rain
85,78,1680134428000,16,24,Rain
86,2,1680134432000,12,8,Rain
87,75,1680134427000,16,24,Rain
88,111,1680134429000,12,28,Rain
89,26,1680134431000,2,18,Rain
90,65,1680134428000,2,38,Rain
91,15,1680134431000,4,9,Rain
92,86,1680134186000,24,14,Rain
93,35,1680134429000,17,12,Rain
94,10,1680134424000,7,9,Rain
95,100,1680134429000,24,1,Rain
96,24,1680134285000,12,8,Rain
97,64,1680134432000,18,22,Rain
98,109,1680134514000,20,9,Rain
99,85,1680134427000,35,0,Rain
100,107,1680134426000,27,13,Rain
101,33,1680134431000,8,15,Rain
102,44,1680134511000,30,0,Rain
103,89,1680134430000,1,39,Rain
104,57,1680134340000,2,21,Rain
105,80,1680134432000,6,34,Rain
106,41,1680134431000,17,3,Rain
107,3,1680134426000,12,7,Rain
108,40,1680134428000,3,18,Rain
109,29,1680134428000,15,14,Rain
110,103,1680134429000,0,40,Rain
111,28,1680134432000,9,21,Rain
112,39,1680134430000,5,15,Rain
113,83,1680134425000,26,14,Rain
114,92,1680134430000,40,0,Rain
115,21,1680134431000,8,22,Rain
116,88,1680134427000,18,12,Rain
117,42,1680134426000,18,12,Rain
118,30,1680134433000,14,6,Rain
119,54,1680134427000,2,31,Rain
120,108,1680134531000,20,15,Rain
121,20,1680134425000,0,30,Rain
122,56,1680134432000,4,36,Rain
123,6,1680134426000,5,15,Rain
124,18,1680134430000,21,9,Rain
125,32,1680134432000,1,29,Rain
126,52,1680134428000,0,32,Rain
127,48,1680134432000,13,27,Rain
128,13,1680134427000,8,22,Rain
129,43,1680134428000,29,0,Rain
130,31,1680134431000,19,1,Rain
131,98,1680134427000,12,27,Rain
132,14,1680134431000,6,24,Rain
133,1,1680134426000,0,31,Rain
134,23,1680134157000,27,3,Rain
135,106,1680134437000,31,9,Rain
136,42,1680134426000,18,12,Rain
137,30,1680134433000,14,6,Rain
138,54,1680134427000,2,31,Rain
139,108,1680134531000,20,15,Rain
140,20,1680134425000,0,30,Rain
141,56,1680134432000,4,36,Rain
142,6,1680134426000,5,15,Rain
143,18,1680134430000,21,9,Rain
144,32,1680134432000,1,29,Rain
145,52,1680134428000,0,32,Rain
146,48,1680134910000,13,27,Rain
147,13,1680134427000,8,22,Rain
148,43,1680134428000,29,0,Rain
149,31,1680134431000,19,1,Rain
150,98,1680134427000,12,27,Rain
151,14,1680134431000,6,24,Rain
152,1,1680134426000,0,31,Rain
153,23,1680134762000,27,3,Rain
154,106,1680134437000,31,9,Rain
155,112,1680134429000,30,0,Rain
156,68,1680134432000,4,36,Rain
157,74,1680134430000,13,17,Rain
158,87,1680134429000,25,13,Rain
159,84,1680134567000,19,11,Rain
160,90,1680134431000,1,39,Rain
161,11,1680134432000,0,30,Rain
162,17,1680134429000,0,20,Rain
163,45,1680134428000,9,21,Rain
164,114,1680134428000,2,38,Rain
165,72,1680134424000,4,27,Rain
166,63,1680134426000,4,31,Rain
167,113,1680134433000,0,40,Rain
168,91,1680134432000,20,10,Rain
169,99,1680134430000,1,29,Rain
170,9,1680134513000,9,15,Rain
171,67,1680134428000,30,10,Rain
172,116,1680134431000,1,29,Rain
173,55,1680134432000,0,34,Rain
174,62,1680134429000,0,20,Rain
175,5,1680134404000,35,5,Rain
176,97,1680134427000,14,26,Rain
177,61,1680134429000,2,23,Rain
178,77,1680134425000,14,15,Rain
179,73,1680134427000,14,16,Rain
180,4,1680134429000,5,15,Rain
181,49,1680134427000,24,16,Rain
182,19,1680134541000,2,28,Rain
183,7,1680134430000,5,24,Rain
184,60,1680134500000,28,2,Rain
185,102,1680134386000,25,15,Rain
186,38,1680134791000,11,29,Rain
187,53,1680134433000,0,40,Rain
188,58,1680134432000,1,39,Rain
189,66,1680134432000,11,29,Rain
190,104,1680134436000,8,31,Rain
191,101,1680134430000,7,23,Rain
192,115,1680134434000,30,0,Rain
193,47,1680134577000,2,38,Rain
194,117,1680134431000,0,40,Rain
195,8,1680134622000,26,2,Rain
196,27,1680134432000,0,20,Rain
197,16,1680134432000,13,6,Rain
198,96,1680134427000,3,27,Rain
199,82,1680134449000,7,1,Rain
200,76,1680134431000,13,25,Rain
201,71,1680134428000,1,39,Rain
202,79,1680134426000,3,24,Rain
203,69,1680134426000,3,37,Rain
204,25,1680134432000,0,30,Rain
205,51,1680134429000,10,30,Rain
206,37,1680134432000,0,30,Rain
207,59,1680134558000,15,5,Rain
208,95,1680134389000,35,5,Rain
209,94,1680134431000,11,29,Rain
210,105,1680134847000,19,17,Rain
211,36,1680134428000,0,40,Rain
212,93,1680134660000,39,1,Rain
213,22,1680134431000,4,15,Rain
214,50,1680134667000,15,25,Rain
215,110,1680134433000,17,23,Rain
216,12,1680134428000,13,7,Rain
217,34,1680134430000,25,5,Rain
218,78,1680134428000,16,24,Rain
219,2,1680134432000,12,8,Rain
220,75,1680134427000,16,24,Rain
221,111,1680134429000,12,28,Rain
222,26,1680134431000,2,18,Rain
223,65,1680134428000,2,38,Rain
224,15,1680134431000,4,9,Rain
225,86,1680134792000,24,14,Rain
226,35,1680134429000,17,12,Rain
227,10,1680134424000,7,9,Rain
228,100,1680134429000,24,1,Rain
229,24,1680134891000,12,8,Rain
230,64,1680134432000,18,22,Rain
231,109,1680134514000,20,9,Rain
232,85,1680134427000,35,0,Rain
233,107,1680134426000,27,13,Rain
234,33,1680134431000,8,15,Rain
235,44,1680134511000,30,0,Rain
236,89,1680134430000,1,39,Rain
237,57,1680134340000,2,21,Rain
238,80,1680134432000,6,34,Rain
239,41,1680134431000,17,3,Rain
240,3,1680134426000,12,7,Rain
241,40,1680134428000,3,18,Rain
242,29,1680134428000,15,14,Rain
243,103,1680134429000,0,40,Rain
244,28,1680134432000,9,21,Rain
245,39,1680134430000,5,15,Rain
246,83,1680134425000,26,14,Rain
247,92,1680134430000,40,0,Rain
248,21,1680134431000,8,22,Rain
249,88,1680134427000,18,12,Rain
250,42,1680135032000,18,12,Rain
251,30,1680135039000,14,6,Rain
252,54,1680135033000,2,31,Rain
253,108,1680135137000,20,15,Rain
254,20,1680135030000,0,30,Rain
255,56,1680135038000,4,36,Rain
256,6,1680135032000,5,15,Rain
257,18,1680135035000,21,9,Rain
258,32,1680135037000,1,29,Rain
259,52,1680135034000,0,32,Rain
260,48,1680135516000,13,27,Rain
261,13,1680135032000,8,22,Rain
262,43,1680135033000,29,0,Rain
263,31,1680135037000,19,1,Rain
264,98,1680135032000,12,27,Rain
265,14,1680135036000,6,24,Rain
266,1,1680135031000,0,31,Rain
267,23,1680135368000,27,3,Rain
268,106,1680135042000,31,9,Rain
269,112,1680135035000,30,0,Rain
270,68,1680135037000,4,36,Rain
271,74,1680135036000,13,17,Rain
272,87,1680135034000,25,13,Rain
273,84,1680135173000,19,11,Rain
274,90,1680135036000,1,39,Rain
275,11,1680135037000,0,30,Rain
276,17,1680135035000,0,20,Rain
277,45,1680135033000,9,21,Rain
278,114,1680135033000,2,38,Rain
279,72,1680135029000,4,27,Rain
280,63,1680135032000,4,31,Rain
281,113,1680135038000,0,40,Rain
282,91,1680135037000,20,10,Rain
283,99,1680135035000,1,29,Rain
284,9,1680135119000,9,15,Rain
285,67,1680135363000,30,10,Rain
286,116,1680135061000,1,29,Rain
287,55,1680135038000,0,34,Rain
288,62,1680135034000,0,20,Rain
289,5,1680135009000,35,5,Rain
290,97,1680135033000,14,26,Rain
291,61,1680135035000,2,23,Rain
292,77,1680135030000,14,15,Rain
293,73,1680135033000,14,16,Rain
294,4,1680135035000,5,15,Rain
295,49,1680135033000,24,16,Rain
296,19,1680135147000,2,28,Rain
297,7,1680135036000,5,24,Rain
298,60,1680135106000,28,2,Rain
299,102,1680134992000,25,15,Rain
300,38,1680135509000,11,29,Rain
301,53,1680135039000,0,40,Rain
302,58,1680135037000,1,39,Rain
303,66,1680135037000,11,29,Rain
304,104,1680135041000,8,31,Rain
305,101,1680135036000,7,23,Rain
306,115,1680135040000,30,0,Rain
307,47,1680135207000,2,38,Rain
308,117,1680135036000,0,40,Rain
309,8,1680135228000,26,2,Rain
310,27,1680135038000,0,20,Rain
311,16,1680135037000,13,6,Rain
312,96,1680135032000,3,27,Rain
313,82,1680135055000,7,1,Rain
314,76,1680135036000,13,25,Rain
315,71,1680135034000,1,39,Rain
316,79,1680135032000,3,24,Rain
317,69,1680135031000,3,37,Rain
318,25,1680135038000,0,30,Rain
319,51,1680135035000,10,30,Rain
320,37,1680135037000,0,30,Rain
321,59,1680135163000,15,5,Rain
322,95,1680134994000,35,5,Rain
323,94,1680135036000,11,29,Rain
324,105,1680135453000,19,17,Rain
325,36,1680135034000,0,40,Rain
326,93,1680135266000,39,1,Rain
327,22,1680135037000,4,15,Rain
328,50,1680135273000,15,25,Rain
329,110,1680135038000,17,23,Rain
330,12,1680135034000,13,7,Rain
331,34,1680135036000,25,5,Rain
332,78,1680135033000,16,24,Rain
333,2,1680135037000,12,8,Rain
334,75,1680135032000,16,24,Rain
335,111,1680135035000,12,28,Rain
336,26,1680135037000,2,18,Rain
337,65,1680135034000,2,38,Rain
338,15,1680135037000,4,9,Rain
339,86,1680135397000,24,14,Rain
340,35,1680135034000,17,12,Rain
341,10,1680135030000,7,9,Rain
342,100,1680135035000,24,1,Rain
343,24,1680135496000,12,8,Rain
344,64,1680135037000,18,22,Rain
345,109,1680135120000,20,9,Rain
346,85,1680135033000,35,0,Rain
347,107,1680135285000,27,13,Rain
348,33,1680135036000,8,15,Rain
349,44,1680135117000,30,0,Rain
350,89,1680135036000,1,39,Rain
351,57,1680134946000,2,21,Rain
352,80,1680135037000,6,34,Rain
353,41,1680135037000,17,3,Rain
354,3,1680135032000,12,7,Rain
355,40,1680135033000,3,18,Rain
356,29,1680135034000,15,14,Rain
357,103,1680135034000,0,40,Rain
358,28,1680135037000,9,21,Rain
359,39,1680135036000,5,15,Rain
360,83,1680135030000,26,14,Rain
361,92,1680135426000,40,0,Rain
362,21,1680135036000,8,22,Rain
363,88,1680135032000,18,12,Rain
364,42,1680135637000,18,12,Rain
365,30,1680135644000,14,6,Rain
366,54,1680135638000,2,31,Rain
367,108,1680135743000,20,15,Rain
368,20,1680135635000,0,30,Rain
369,56,1680135643000,4,36,Rain
370,6,1680135637000,5,15,Rain
371,18,1680135640000,21,9,Rain
372,32,1680135643000,1,29,Rain
373,52,1680135639000,0,32,Rain
374,48,1680135516000,13,27,Rain
375,13,1680135638000,8,22,Rain
376,43,1680135638000,29,0,Rain
377,31,1680135642000,19,1,Rain
378,98,1680135637000,12,27,Rain
379,14,1680135642000,6,24,Rain
380,1,1680135637000,0,31,Rain
381,23,1680135871000,27,3,Rain
382,106,1680135648000,31,9,Rain
383,112,1680135640000,30,0,Rain
384,68,1680135643000,4,36,Rain
385,74,1680135641000,13,17,Rain
386,87,1680135639000,25,13,Rain
387,84,1680135779000,19,11,Rain
388,90,1680135642000,1,39,Rain
389,11,1680135643000,0,30,Rain
390,17,1680135641000,0,20,Rain
391,45,1680135639000,9,21,Rain
392,114,1680135639000,2,38,Rain
393,72,1680135634000,4,27,Rain
394,63,1680135637000,4,31,Rain
395,113,1680135644000,0,40,Rain
396,91,1680135643000,20,10,Rain
397,99,1680135641000,1,29,Rain
398,9,1680135725000,9,15,Rain
399,67,1680136065000,30,10,Rain
400,116,1680135667000,1,29,Rain
401,55,1680135643000,0,34,Rain
402,62,1680135640000,0,20,Rain
403,5,1680135615000,35,5,Rain
404,97,1680135638000,14,26,Rain
405,61,1680135640000,2,23,Rain
406,77,1680135635000,14,15,Rain
407,73,1680135638000,14,16,Rain
408,4,1680135640000,5,15,Rain
409,49,1680135638000,24,16,Rain
410,19,1680135753000,2,28,Rain
411,7,1680135642000,5,24,Rain
412,60,1680135712000,28,2,Rain
413,102,1680135598000,25,15,Rain
414,38,1680136115000,11,29,Rain
415,53,1680135644000,0,40,Rain
416,58,1680135643000,1,39,Rain
417,66,1680135643000,11,29,Rain
418,104,1680135646000,8,31,Rain
419,101,1680135641000,7,23,Rain
420,115,1680135645000,30,0,Rain
421,47,1680135828000,2,38,Rain
422,117,1680135642000,0,40,Rain
423,8,1680136099000,26,2,Rain
424,27,1680135643000,0,20,Rain
425,16,1680135643000,13,6,Rain
426,96,1680135637000,3,27,Rain
427,82,1680135660000,7,1,Rain
428,76,1680135642000,13,25,Rain
429,71,1680135639000,1,39,Rain
430,79,1680135637000,3,24,Rain
431,69,1680135637000,3,37,Rain
432,25,1680135644000,0,30,Rain
433,51,1680135641000,10,30,Rain
434,37,1680135643000,0,30,Rain
435,59,1680135768000,15,5,Rain
436,95,1680135600000,35,5,Rain
437,94,1680135642000,11,29,Rain
438,105,1680136058000,19,17,Rain
439,36,1680135639000,0,40,Rain
440,93,1680135871000,39,1,Rain
441,22,1680135642000,4,15,Rain
442,50,1680135879000,15,25,Rain
443,110,1680135644000,17,23,Rain
444,12,1680135639000,13,7,Rain
445,34,1680135642000,25,5,Rain
446,78,1680135565000,16,24,Rain
447,2,1680135643000,12,8,Rain
448,75,1680135637000,16,24,Rain
449,111,1680135641000,12,28,Rain
450,26,1680135642000,2,18,Rain
451,65,1680135639000,2,38,Rain
452,15,1680135642000,4,9,Rain
453,86,1680136003000,24,14,Rain
454,35,1680135640000,17,12,Rain
455,10,1680135635000,7,9,Rain
456,100,1680135640000,24,1,Rain
457,24,1680136102000,12,8,Rain
458,64,1680135643000,18,22,Rain
459,109,1680135725000,20,9,Rain
460,85,1680135638000,35,0,Rain
461,107,1680135891000,27,13,Rain
462,33,1680135642000,8,15,Rain
463,44,1680136065000,30,0,Rain
464,89,1680135642000,1,39,Rain
465,57,1680135551000,2,21,Rain
466,80,1680135643000,6,34,Rain
467,41,1680135642000,17,3,Rain
468,3,1680135637000,12,7,Rain
469,40,1680135639000,3,18,Rain
470,29,1680135639000,15,14,Rain
471,103,1680135640000,0,40,Rain
472,28,1680135643000,9,21,Rain
473,39,1680135641000,5,15,Rain
474,83,1680135635000,26,14,Rain
475,92,1680136032000,40,0,Rain
476,21,1680135642000,8,22,Rain
477,88,1680135637000,18,12,Rain
478,42,1680136243000,18,12,Rain
479,30,1680136250000,14,6,Rain
480,54,1680136244000,2,31,Rain
481,108,1680136348000,20,15,Rain
482,20,1680136241000,0,30,Rain
483,56,1680136249000,4,36,Rain
484,6,1680136243000,5,15,Rain
485,18,1680136134000,21,9,Rain
486,32,1680136248000,1,29,Rain
487,52,1680136245000,0,32,Rain
488,48,1680136121000,13,27,Rain
489,13,1680136243000,8,22,Rain
490,43,1680136244000,29,0,Rain
491,31,1680136248000,19,1,Rain
492,98,1680136242000,12,27,Rain
493,14,1680136248000,6,24,Rain
494,1,1680136242000,0,31,Rain
495,23,1680136477000,27,3,Rain
496,106,1680136253000,31,9,Rain
497,112,1680136399000,30,0,Rain
498,68,1680136249000,4,36,Rain
499,74,1680136247000,13,17,Rain
500,87,1680136245000,25,13,Rain
501,84,1680136384000,19,11,Rain
502,90,1680136248000,1,39,Rain
503,11,1680136248000,0,30,Rain
504,17,1680136246000,0,20,Rain
505,45,1680136244000,9,21,Rain
506,114,1680136245000,2,38,Rain
507,72,1680136240000,4,27,Rain
508,63,1680136242000,4,31,Rain
509,113,1680136250000,0,40,Rain
510,91,1680136249000,20,10,Rain
511,99,1680136247000,1,29,Rain
512,9,1680136330000,9,15,Rain
513,67,1680136670000,30,10,Rain
514,116,1680136275000,1,29,Rain
515,55,1680136249000,0,34,Rain
516,62,1680136246000,0,20,Rain
517,5,1680136220000,35,5,Rain
518,97,1680136244000,14,26,Rain
519,61,1680136245000,2,23,Rain
520,77,1680136240000,14,15,Rain
521,73,1680136244000,14,16,Rain
522,4,1680136246000,5,15,Rain
523,49,1680136243000,24,16,Rain
524,19,1680136359000,2,28,Rain
525,7,1680136247000,5,24,Rain
526,60,1680136317000,28,2,Rain
527,102,1680136369000,25,15,Rain
528,38,1680136721000,11,29,Rain
529,53,1680136250000,0,40,Rain
530,58,1680136249000,1,39,Rain
531,66,1680136249000,11,29,Rain
532,104,1680136251000,8,31,Rain
533,101,1680136247000,7,23,Rain
534,115,1680136251000,30,0,Rain
535,47,1680136458000,2,38,Rain
536,117,1680136247000,0,40,Rain
537,8,1680136704000,26,2,Rain
538,27,1680136249000,0,20,Rain
539,16,1680136249000,13,6,Rain
540,96,1680136243000,3,27,Rain
541,82,1680136265000,7,1,Rain
542,76,1680136248000,13,25,Rain
543,71,1680136245000,1,39,Rain
544,79,1680136243000,3,24,Rain
545,69,1680136242000,3,37,Rain
546,25,1680136249000,0,30,Rain
547,51,1680136247000,10,30,Rain
548,37,1680136249000,0,30,Rain
549,59,1680136373000,15,5,Rain
550,95,1680136205000,35,5,Rain
551,94,1680136248000,11,29,Rain
552,105,1680136664000,19,17,Rain
553,36,1680136245000,0,40,Rain
554,93,1680136477000,39,1,Rain
555,22,1680136248000,4,15,Rain
556,50,1680136485000,15,25,Rain
557,110,1680136250000,17,23,Rain
558,12,1680136246000,13,7,Rain
559,34,1680136247000,25,5,Rain
560,78,1680136171000,16,24,Rain
561,2,1680136249000,12,8,Rain
562,75,1680136243000,16,24,Rain
563,111,1680136246000,12,28,Rain
564,26,1680136248000,2,18,Rain
565,65,1680136245000,2,38,Rain
566,15,1680136248000,4,9,Rain
567,86,1680136609000,24,14,Rain
568,35,1680136245000,17,12,Rain
569,10,1680136240000,7,9,Rain
570,100,1680136246000,24,1,Rain
571,24,1680136318000,12,8,Rain
572,64,1680136249000,18,22,Rain
573,109,1680136710000,20,9,Rain
574,85,1680136243000,35,0,Rain
575,107,1680136497000,27,13,Rain
576,33,1680136247000,8,15,Rain
577,44,1680136671000,30,0,Rain
578,89,1680136247000,1,39,Rain
579,57,1680136157000,2,21,Rain
580,80,1680136249000,6,34,Rain
581,41,1680136248000,17,3,Rain
582,3,1680136242000,12,7,Rain
583,40,1680136245000,3,18,Rain
584,29,1680136245000,15,14,Rain
585,103,1680136245000,0,40,Rain
586,28,1680136249000,9,21,Rain
587,39,1680136247000,5,15,Rain
588,83,1680136576000,26,14,Rain
589,92,1680136637000,40,0,Rain
590,21,1680136248000,8,22,Rain
591,88,1680136243000,18,12,Rain
592,42,1680136849000,18,12,Rain
593,30,1680136855000,14,6,Rain
594,54,1680136850000,2,31,Rain
595,108,1680137064000,20,15,Rain
596,20,1680136845000,0,30,Rain
597,56,1680136854000,4,36,Rain
598,6,1680136848000,5,15,Rain
599,18,1680136739000,21,9,Rain
600,32,1680136854000,1,29,Rain
601,52,1680136850000,0,32,Rain
602,48,1680136727000,13,27,Rain
603,13,1680136848000,8,22,Rain
604,43,1680136849000,29,0,Rain
605,31,1680136853000,19,1,Rain
606,98,1680136847000,12,27,Rain
607,14,1680136853000,6,24,Rain
608,1,1680136847000,0,31,Rain
609,23,1680137083000,27,3,Rain
610,106,1680136858000,31,9,Rain
611,112,1680137004000,30,0,Rain
612,68,1680136855000,4,36,Rain
613,74,1680136852000,13,17,Rain
614,87,1680136850000,25,13,Rain
615,84,1680136990000,19,11,Rain
616,90,1680136853000,1,39,Rain
617,11,1680136854000,0,30,Rain
618,17,1680136852000,0,20,Rain
619,45,1680136850000,9,21,Rain
620,114,1680136850000,2,38,Rain
621,72,1680136845000,4,27,Rain
622,63,1680136848000,4,31,Rain
623,113,1680136855000,0,40,Rain
624,91,1680136854000,20,10,Rain
625,99,1680136853000,1,29,Rain
626,9,1680136936000,9,15,Rain
627,67,1680137275000,30,10,Rain
628,116,1680136880000,1,29,Rain
629,55,1680136854000,0,34,Rain
630,62,1680136851000,0,20,Rain
631,5,1680136825000,35,5,Rain
632,97,1680137239000,14,26,Rain
633,61,1680136851000,2,23,Rain
634,77,1680136845000,14,15,Rain
635,73,1680136849000,14,16,Rain
636,4,1680136852000,5,15,Rain
637,49,1680136848000,24,16,Rain
638,19,1680136964000,2,28,Rain
639,7,1680136853000,5,24,Rain
640,60,1680136922000,28,2,Rain
641,102,1680136974000,25,15,Rain
642,38,1680136721000,11,29,Rain
643,53,1680136855000,0,40,Rain
644,58,1680136854000,1,39,Rain
645,66,1680136855000,11,29,Rain
646,104,1680136856000,8,31,Rain
647,101,1680136853000,7,23,Rain
648,115,1680136857000,30,0,Rain
649,47,1680137089000,2,38,Rain
650,117,1680136853000,0,40,Rain
651,8,1680136864000,26,2,Rain
652,27,1680136855000,0,20,Rain
653,16,1680136854000,13,6,Rain
654,96,1680136848000,3,27,Rain
655,82,1680136871000,7,1,Rain
656,76,1680136853000,13,25,Rain
657,71,1680136851000,1,39,Rain
658,79,1680136849000,3,24,Rain
659,69,1680136847000,3,37,Rain
660,25,1680136855000,0,30,Rain
661,51,1680136852000,10,30,Rain
662,37,1680136854000,0,30,Rain
663,59,1680136978000,15,5,Rain
664,95,1680136811000,35,5,Rain
665,94,1680136853000,11,29,Rain
666,105,1680137270000,19,17,Rain
667,36,1680136850000,0,40,Rain
668,93,1680137082000,39,1,Rain
669,22,1680136853000,4,15,Rain
670,50,1680137090000,15,25,Rain
671,110,1680136855000,17,23,Rain
672,12,1680136851000,13,7,Rain
673,34,1680136853000,25,5,Rain
674,78,1680136776000,16,24,Rain
675,2,1680136854000,12,8,Rain
676,75,1680136848000,16,24,Rain
677,111,1680136852000,12,28,Rain
678,26,1680136854000,2,18,Rain
679,65,1680136850000,2,38,Rain
680,15,1680136854000,4,9,Rain
681,86,1680137214000,24,14,Rain
682,35,1680137274000,17,12,Rain
683,10,1680136845000,7,9,Rain
684,100,1680136852000,24,1,Rain
685,24,1680136923000,12,8,Rain
686,64,1680136854000,18,22,Rain
687,109,1680137315000,20,9,Rain
688,85,1680136849000,35,0,Rain
689,107,1680137102000,27,13,Rain
690,33,1680136853000,8,15,Rain
691,44,1680137277000,30,0,Rain
692,89,1680136853000,1,39,Rain
693,57,1680136762000,2,21,Rain
694,80,1680136854000,6,34,Rain
695,41,1680136854000,17,3,Rain
696,3,1680136848000,12,7,Rain
697,40,1680136850000,3,18,Rain
698,29,1680136851000,15,14,Rain
699,103,1680136850000,0,40,Rain
700,28,1680136854000,9,21,Rain
701,39,1680136852000,5,15,Rain
702,83,1680137181000,26,14,Rain
703,92,1680137243000,40,0,Rain
704,21,1680136853000,8,22,Rain
705,88,1680136848000,18,12,Rain
706,42,1680137454000,18,12,Rain
707,30,1680137461000,14,6,Rain
708,54,1680137455000,2,31,Rain
709,108,1680137670000,20,15,Rain
710,20,1680137450000,0,30,Rain
711,56,1680137459000,4,36,Rain
712,6,1680137454000,5,15,Rain
713,18,1680137345000,21,9,Rain
714,32,1680137460000,1,29,Rain
715,52,1680137456000,0,32,Rain
716,48,1680137333000,13,27,Rain
717,13,1680137453000,8,22,Rain
718,43,1680137454000,29,0,Rain
719,31,1680137594000,19,1,Rain
720,98,1680137452000,12,27,Rain
721,14,1680137458000,6,24,Rain
722,1,1680137452000,0,31,Rain
723,23,1680137688000,27,3,Rain
724,106,1680137463000,31,9,Rain
725,112,1680137609000,30,0,Rain
726,68,1680137461000,4,36,Rain
727,74,1680137458000,13,17,Rain
728,87,1680137455000,25,13,Rain
729,84,1680137596000,19,11,Rain
730,90,1680137459000,1,39,Rain
731,11,1680137459000,0,30,Rain
732,17,1680137458000,0,20,Rain
733,45,1680137455000,9,21,Rain
734,114,1680137455000,2,38,Rain
735,72,1680137450000,4,27,Rain
736,63,1680137453000,4,31,Rain
737,113,1680137460000,0,40,Rain
738,91,1680137459000,20,10,Rain
739,99,1680137458000,1,29,Rain
740,9,1680137541000,9,15,Rain
741,67,1680137880000,30,10,Rain
742,116,1680137486000,1,29,Rain
743,55,1680137460000,0,34,Rain
744,62,1680137457000,0,20,Rain
745,5,1680137431000,35,5,Rain
746,97,1680137844000,14,26,Rain
747,61,1680137457000,2,23,Rain
748,77,1680137450000,14,15,Rain
749,73,1680137455000,14,16,Rain
750,4,1680137457000,5,15,Rain
751,49,1680137453000,24,16,Rain
752,19,1680137570000,2,28,Rain
753,7,1680137459000,5,24,Rain
754,60,1680137527000,28,2,Rain
755,102,1680137580000,25,15,Rain
756,38,1680137711000,11,29,Rain
757,53,1680137461000,0,40,Rain
758,58,1680137459000,1,39,Rain
759,66,1680137460000,11,29,Rain
760,104,1680137461000,8,31,Rain
761,101,1680137458000,7,23,Rain
762,115,1680137462000,30,0,Rain
763,47,1680137718000,2,38,Rain
764,117,1680137459000,0,40,Rain
765,8,1680137469000,26,2,Rain
766,27,1680137461000,0,20,Rain
767,16,1680137459000,13,6,Rain
768,96,1680137453000,3,27,Rain
769,82,1680137477000,7,1,Rain
770,76,1680137458000,13,25,Rain
771,71,1680137457000,1,39,Rain
772,79,1680137454000,3,24,Rain
773,69,1680137452000,3,37,Rain
774,25,1680137461000,0,30,Rain
